rank,name,position,team,adp,high,low,stdev,bye,source
198,Baltimore Defense,DEF,BAL,168.8,148,204,14.0,13,ffc
199,Wil Lutz,PK,DEN,169.6,141,206,18.7,10,ffc
200,C.J. Stroud,QB,HOU,170.0,164,175,4.8,8,ffc
201,Jaydon Blue,RB,DAL,170.2,126,206,36.9,14,ffc
202,Keaton Mitchell,RB,LAC,171.0,130,200,24.6,7,ffc
203,Evan McPherson,PK,CIN,171.3,143,204,15.7,6,ffc
204,Daniel Jones,QB,IND,174.4,157,180,9.8,13,ffc
205,New Orleans Defense,DEF,NO,174.4,150,196,10.2,8,ffc
206,Justice Hill,RB,BAL,175.3,166,177,4.1,13,ffc
207,Chris Boswell,PK,PIT,176.3,171,179,2.9,9,ffc
208,Nick Folk,PK,ATL,178.5,143,205,20.0,11,ffc
209,Cleveland Defense,DEF,CLE,182.9,146,207,23.8,11,ffc
1,Jahmyr Gibbs,RB,DET,1.33,1,2,0.47,6,fantasypros
2,Bijan Robinson,RB,ATL,1.67,1,2,0.47,11,fantasypros
3,Ja'Marr Chase,WR,CIN,3.0,3,3,0.00,6,fantasypros
4,Puka Nacua,WR,LAR,4.0,4,4,0.00,11,fantasypros
5,Christian McCaffrey,RB,SF,5.0,5,5,0.00,8,fantasypros
6,Jaxon Smith-Njigba,WR,SEA,6.33,6,7,0.47,11,fantasypros
7,Jonathan Taylor,RB,IND,6.67,6,7,0.47,13,fantasypros
8,Amon-Ra St. Brown,WR,DET,8.33,8,9,0.47,6,fantasypros
9,James Cook III,RB,BUF,9.67,9,10,0.47,7,fantasypros
10,Ashton Jeanty,RB,LV,11.0,8,13,2.16,13,fantasypros
